Time,Bps
638,30304
639,51536
640,23552
641,44864
642,34928
643,35984
644,44368
645,25408
646,11328
647,16256
648,22784
649,39008
650,108848
651,29120
652,47648
653,45664
654,30560
655,39488
656,11856
657,10800
658,17168
659,58448
660,17504
661,19712
662,44208
663,48976
664,48080
665,96384
666,18448
667,14640
668,14528
669,44224
670,43856
671,24480
672,44864
673,35328
674,50864
675,31392
676,14208
677,13584
678,16256
679,33488
680,54592
681,90688
682,44864
683,45264
684,45552
685,33360
686,13056
687,14112
688,17312
689,42768
690,46240
691,23552
692,46880
693,44704
694,41456
695,32688
696,84032
697,11856
698,18640
699,45712
700,45296
701,23008
702,42080
703,46592
704,47552
705,25264
706,13056
707,13056
708,16384
709,48864
710,44544
711,94096
712,43808
713,43280
714,49536
715,23408
716,13584
717,13472
718,23280
719,46608
720,38960
721,30016
722,38768
723,47520
724,48080
725,19824
726,84032
727,14528
728,32160
729,44240
730,35232
731,35328
732,39568
733,42480
734,45696
735,20224
736,11328
737,14000
738,26064
739,46496
740,25104
741,34976
742,118384
743,33808
744,45728
745,19792
746,14640
747,13584
748,28336
749,40912
750,40160
751,29088
752,41024
753,42880
754,47152
755,20224
756,14640
757,82976
758,20624
759,50864
760,42544
761,23952
762,43904
763,41424
764,43840
765,27248
766,14640
767,14112
768,20544
769,40864
770,46656
771,27248
772,114256
773,41952
774,51456
775,23408
776,11856
777,14256
778,26608
779,47952
780,38448
781,23488
782,49504
783,40096
784,47552
785,19296
786,15312
787,81776
788,25680
789,44624
790,41216
791,31904
792,38736
793,47120
794,46224
795,20224
796,11328
797,16256
798,24208
799,50864
800,33776
801,31872
802,118368
803,41056
804,42080
805,18400
806,15936
807,15088
808,30576
809,43712
810,35760
811,31344
812,41952
813,48976
814,40656
815,20224
816,11328
817,16256
818,99424
819,55120
820,26336
821,31344
822,47024
823,41392
824,42112
825,17968
826,15840
827,15056
828,34016
829,24544
830,49232
831,37712
832,40096
833,115712
834,26416
835,20224
836,12384
837,16784
838,31632
839,54064
840,25440
841,40224
842,47648
843,40096
844,39344
845,14640
846,14112
847,14528
848,139152
849,39616
850,41152
851,39568
852,47792
853,36944
854,18368
855,11328
856,16688
857,33056
858,52736
859,22624
860,39296
861,45696
862,113424
863,42128
864,12816
865,15408
866,14528
867,32160
868,43312
869,33376
870,38768
871,40096
872,47120
873,36848
874,19792
875,11328
876,16784
877,33488
878,121232
879,25248
880,34128
881,46592
882,40528
883,38368
884,20224
885,14112
886,14528
887,34016
888,45264
889,30992
890,33104
891,40992
892,48976
893,109776
894,20224
895,11760
896,18080
897,28048
898,53936
899,26768
900,34624
901,46464
902,38768
903,42112
904,20224
905,13584
906,14528
907,26592
908,46496
909,106208
910,35056
911,43808
912,35664
913,38800
914,30352
915,10800
916,18512
917,26720
918,37552
919,32720
920,32800
921,48736
922,40864
923,40256
924,89616
925,14112
926,14528
927,31632
928,45168
929,32624
930,29456
931,47648
932,46592
933,39232
934,19792
935,14112
936,16784
937,33184
938,50752
939,97600
940,38368
941,41056
942,47088
943,40800
944,14640
945,13584
946,14432
947,29744
948,54064
949,24080
950,39696
951,47120
952,43808
953,35088
954,87360
955,13584
956,16256
957,39984
958,48496
959,22368
960,46848
961,40528
962,47120
963,33216
964,14640
965,11328
966,20544
967,39008
968,45840
969,93776
970,42080
971,48448
972,46224
973,27648
974,13488
975,14880
976,14528
977,48464
978,43456
979,21696
980,46192
981,41424
982,49536
983,27648
984,84032
985,10800
986,26608
987,46048
988,41344
989,32544
990,43808
991,46992
992,43040
993,17968
994,11760
995,18608
996,31760
997,51280
998,25808
999,111472
1000,41424
1001,43280
1002,38320
1003,19840
1004,11856
1005,15056
1006,41872
1007,49520
1008,22096
1009,40624
1010,48976
1011,48608
1012,29504
1013,11328
1014,82880
1015,17680
1016,53248
1017,41216
1018,26304
1019,50240
1020,39568
1021,47680
1022,22112
1023,15408
1024,10272
1025,22896
1026,39040
1027,48240
1028,11552
1029,110608
1030,61296
1031,41984
1032,29504
1033,11328
1034,12528
1035,16784
1036,35712
1037,43824
1038,24080
1039,48176
1040,39712
1041,50352
1042,25792
1043,14640
1044,81776
1045,23696
1046,42752
1047,39232
1048,28960
1049,46336
1050,48464
1051,42416
1052,21216
1053,12288
1054,18080
1055,26192
1056,48912
1057,29488
1058,30416
1059,114256
1060,40912
1061,47680
1062,20224
1063,13584
1064,14528
1065,26064
1066,43296
1067,34704
1068,33200
1069,44608
1070,47536
1071,41984
1072,17440
1073,10800
1074,17984
1075,96112
1076,48880
1077,30048
1078,36512
1079,45136
1080,38928
1081,43968
1082,20656
1083,13680
1084,14528
1085,30304
1086,41968
1087,32848
1088,29360
1089,43408
1090,120768
1091,42944
1092,19792
1093,13584
1094,12528
1095,29392
1096,51264
1097,27664
1098,32800
1099,39568
1100,43824
1101,49632
1102,20224
1103,13584
1104,14432
1105,98336
1106,45280
1107,30992
1108,33072
1109,42880
1110,46880
1111,43840
1112,19824
1113,13584
1114,16784
1115,28048
1116,41968
1117,35104
1118,34128
1119,43280
1120,113744
1121,41584
1122,21952
1123,11328
1124,15056
1125,25968
1126,45248
1127,34576
1128,28960
1129,47920
1130,38064
1131,38800
1132,17968
1133,14640
1134,16784
1135,31232
1136,116432
1137,27664
1138,37840
1139,36784
1140,48464
1141,42784
1142,20624
1143,11856
1144,16784
1145,23680
1146,52192
1147,27664
1148,31616
1149,58288
1150,139536
1151,25392
1152,12288
1153,14880
1154,20640
1155,45664
1156,40672
1157,29088
1158,42752
1159,40640
1160,53264
1161,20656
1162,13152
1163,14000
1164,27920
1165,113216
1166,30880
1167,30784
1168,46592
1169,49936
1170,32224
1171,28928
1172,2256
1173,13056
1174,28864
1175,43296
1176,32176
1177,36512
1178,36816
1179,42880
1180,49536
1181,90672
1182,14640
1183,10800
1184,19040
1185,46608
1186,42672
1187,23392
1188,47120
1189,50336
1190,39200
1191,25392
1192,14640
1193,13056
1194,27008
1195,43824
1196,101280
1197,30432
1198,40368
1199,43296
1200,51408
1201,22080
1202,14112
1203,13056
