Bps
5611
4085
3420
276589
91594
365636
793709
991297
931152
6267
11206
90
61191
931745
124596
785954
688586
12224
428776
524236
85458
783437
101533
151873
387522
240140
2984
51929
4074803
717474
631416
1164992
600095
10343
47188
279
3232691
935288
1220875
793208
1085807
48939
105722
351752
1312911
766741
621896
363
175600
44152
4041
1300931
1567869
913003
885970
2934
835817
1494381
781643
1586375
1617488
719712
12796
2022135
2249176
5872110
1755422
2314511
1714534
528762
44
79867
187810
177111
668353
321528


